task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,size,threads
1.800013,5.0,1.0,83,0.001418512,16,4
1.948985,6.0,1.0,85,0.001475095,16,5
2.015264,8.0,2.0,87,0.001526501,16,6
2.30992,11.0,3.0,89,0.001703118,16,7
2.403023,12.0,4.0,90,0.001716983,16,8
2.430669,0.0,0.0,71,0.002739196,32,1
3.115193,2.0,0.0,86,0.002294585,32,2
3.378191,4.0,0.0,87,0.0020824,32,3
3.522387,6.0,1.0,90,0.001985275,32,4
3.71741,10.0,2.0,91,0.002025381,32,5
3.801054,9.0,2.0,93,0.002005672,32,6
4.064926,14.0,2.0,96,0.00211973,32,7
4.114641,17.0,3.0,98,0.002170133,32,8
8.012207,0.0,0.0,102,0.008307132,64,1
9.405934,3.0,0.0,116,0.005550511,64,2
9.961925,7.0,0.0,118,0.004349306,64,3
10.439803,10.0,1.0,119,0.003985022,64,4
10.513352,12.0,2.0,122,0.003925574,64,5
10.828352,17.0,2.0,124,0.004088864,64,6
10.983909,19.0,4.0,126,0.004065824,64,7
11.301771,23.0,5.0,128,0.00425741,64,8
30.938723,0.0,0.0,221,0.031260585,128,1
34.412408,5.0,0.0,236,0.018627797,128,2
36.340248,19.0,0.0,238,0.01402009,128,3
37.923733,30.0,2.0,239,0.0122941,128,4
37.981585,36.0,3.0,241,0.011696674,128,5
38.452665,36.0,6.0,244,0.011869936,128,6
38.272272,37.0,6.0,245,0.011686834,128,7
38.512145,42.0,6.0,248,0.011797475,128,8
122.311717,0.0,0.0,702,0.122663429,256,1
133.714975,18.0,1.0,716,0.070435313,256,2
141.059548,66.0,0.0,718,0.052002455,256,3
148.46503,136.0,2.0,720,0.043334357,256,4
148.332638,150.0,6.0,722,0.042859987,256,5
148.48079,160.0,7.0,724,0.042629123,256,6
149.434699,180.0,13.0,726,0.043114317,256,7
148.781236,164.0,7.0,728,0.042783617,256,8
485.081949,1.0,0.0,2622,0.48553715,512,1
540.131291,120.0,1.0,2637,0.281582329,512,2
564.196554,358.0,2.0,2638,0.204976042,512,3
588.693145,663.0,3.0,2641,0.166099205,512,4
591.249798,737.0,29.0,2643,0.166793589,512,5
592.309966,766.0,30.0,2644,0.166016259,512,6
592.334549,754.0,24.0,2647,0.165580008,512,7
593.526813,882.0,8.0,2649,0.165174467,512,8
1946.34173,6.0,1.0,10302,1.951060865,1024,1
1986.094216,30.0,2.0,10316,1.033848636,1024,2
2056.543676,273.0,2.0,10318,0.741957879,1024,3
2100.01491,1148.0,2.0,10320,0.592143667,1024,4
2095.218386,1272.0,79.0,10323,0.586276308,1024,5
2097.283025,1398.0,72.0,10325,0.586216547,1024,6
2099.398244,1557.0,55.0,10327,0.584799863,1024,7
2107.792066,1986.0,27.0,10329,0.58797334,1024,8
7709.956748,25.0,1.0,41022,7.734589596,2048,1
8671.207625,2308.0,1.0,41036,4.515910173,2048,2
8974.977681,7535.0,2.0,41039,3.23607911,2048,3
9415.913764,15396.0,3.0,41041,2.64574558,2048,4
9424.734114,15191.0,222.0,41042,2.632286629,2048,5
9448.812999,16383.0,266.0,41044,2.629925634,2048,6
9480.149939,17161.0,289.0,41047,2.618509238,2048,7
9495.774151,18420.0,48.0,41048,2.609348771,2048,8
30811.01434,81.0,0.0,163902,30.907952501,4096,1
31651.326314,483.0,4.0,163916,16.435640237,4096,2
32689.189199,4568.0,2.0,163918,11.704735792,4096,3
33458.068094,21467.0,4.0,163921,9.367331002,4096,4
33442.364494,24215.0,279.0,163923,9.305504456,4096,5
33470.289169,27244.0,393.0,163924,9.298226972,4096,6
33507.395499,29896.0,335.0,163926,9.28646116,4096,7
33625.181607,34620.0,65.0,163929,9.312080501,4096,8
122971.553075,340.0,2.0,655422,123.432044616,8192,1
137283.513701,30355.0,19.0,655437,71.41042573,8192,2
137014.456872,71731.0,3.0,655438,49.143566767,8192,3
150017.400897,244236.0,5.0,655440,41.804471703,8192,4
138761.573649,153187.0,1795.0,655442,38.743695785,8192,5
135248.36399,122721.0,1497.0,655444,37.510745679,8192,6
137222.903992,161954.0,1559.0,655446,37.996071749,8192,7
136093.753077,160992.0,240.0,655449,37.63436706,8192,8
0.984359,0.0,0.0,63,0.001535235,16,1
1.666139,2.0,0.0,78,0.001737067,16,2
1.708658,4.0,0.0,81,0.001423696,16,3
1.865439,5.0,1.0,82,0.00141927,16,4
2.014011,7.0,2.0,85,0.001491403,16,5
2.155917,8.0,2.0,86,0.001553738,16,6
2.324101,11.0,2.0,89,0.001615997,16,7
2.450104,11.0,4.0,90,0.001694595,16,8
2.624964,0.0,0.0,71,0.002915087,32,1
3.305873,2.0,0.0,86,0.002357305,32,2
3.557208,4.0,0.0,88,0.002100043,32,3
3.793373,5.0,1.0,89,0.0020094,32,4
3.908679,8.0,2.0,92,0.002046373,32,5
3.964771,10.0,3.0,94,0.002082053,32,6
4.238641,13.0,2.0,96,0.002186573,32,7
4.286408,12.0,3.0,98,0.002127601,32,8
9.120061,0.0,0.0,102,0.009408439,64,1
